#	Date	Country, Other	Total Cases	New Cases	Total Deaths	New Deaths	Total Recovered	New Recovered	Active Cases	Serious, Critical	Tot Cases/1M Pop	Deaths/1M Pop	Total Tests	Tests/1M Pop	Population	Continent
74	27:11:2021	Uruguay	399,181	+291	6,125 	+1	390,912	+193	2,144	13	114,356	1,755	4,083,835	1,169,928	3,490,672	South America
75	27:11:2021	Mongolia	380,616	+486	1,985 	+4	313,256		65,375	192	113,532	592	4,030,048	1,202,105	3,352,493	Asia
76	27:11:2021	Honduras	377,888	+29	10,403 		120,308	+4	247,177	59	37,318	1,027	1,121,382	110,743	10,126,026	North America
77	27:11:2021	Ethiopia	371,177	+119	6,736  	+9	348,299	+211	16,142	226	3,120	57	3,856,635	32,419	118,961,845	Africa
78	27:11:2021	Libya	370,787		5,430 		339,003		26,354		52,949	775	1,895,515	270,685	7,002,659	Africa
79	27:11:2021	Moldova	362,326	+498	9,054 	+32	346,067	+841	7,205	205	90,114	2,252	2,196,983	546,409	4,020,764	Europe
80	27:11:2021	Egypt	355,767	+931	20,305 	+68	295,434	+531	40,028	90	3,387	193	3,693,367	35,159	105,046,372	Africa
81	27:11:2021	Armenia	337,522	+517	7,485 	+26	314,020	+1,403	16,017		113,604	2,519	2,348,877	790,591	2,971,038	Asia
82	27:11:2021	Oman	304,519		4,113 		299,951		455	7	57,576	778	25,000,000	4,726,826	5,288,961	Asia
83	27:11:2021	Bahrain	277,552	+16	1,394 		275,889	+24	269	2	155,533	781	7,349,180	4,118,302	1,784,517	Asia
84	27:11:2021	Bosnia and Herzegovina	272,798		12,456 		192,218		68,124		83,884	3,830	1,385,921	426,164	3,252,085	Europe
85	27:11:2021	Singapore	261,636	+1,761	690 	+6	246,262	+1,897	14,684	58	44,232	117	21,098,774	3,566,954	5,915,068	Asia
86	27:11:2021	Norway	259,200	+1,891	1,050 		88,952		169,198	62	47,292	192	8,537,200	1,557,635	5,480,875	Europe
87	27:11:2021	Kenya	254,940	+36	5,332 		248,116	+31	1,492	20	4,599	96	2,824,639	50,954	55,434,865	Africa
88	27:11:2021	Latvia	251,925	+919	4,130 	+17	235,841	+2,722	11,954	178	135,675	2,224	5,314,360	2,862,062	1,856,829	Europe
89	27:11:2021	Qatar	242,979	+155	611 		240,399	+121	1,969	17	86,537	218	2,977,273	1,060,356	2,807,805 	Asia
90	27:11:2021	Estonia	221,160	+646	1,789 	+8	200,165	+2,073	19,206	36	166,562	1,347	2,319,477	1,746,869	1,327,791	Europe
91	27:11:2021	North Macedonia	214,676	+463	7,528 	+17	198,755	+336	8,393		103,048	3,614	1,465,204	703,325	2,083,254	Europe
